Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Loan_ID,Borrower_Name,Loan_Type,Outstanding_Amount,Risk_Level,Default_Probability,Status
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00393,Borrower_393,Personal Loan,4551500.32,Medium,0.19,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00394,Borrower_394,Personal Loan,3269130.87,Low,0.17,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00395,Borrower_395,Home Loan,3041034.41,High,0.15,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00396,Borrower_396,Personal Loan,2476993.4,Low,0.04,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00397,Borrower_397,Auto Loan,3956172.76,Medium,0.35,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00398,Borrower_398,Business Loan,1219416.8,Low,0.05,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00399,Borrower_399,Education Loan,1375300.9,Low,0.49,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00400,Borrower_400,Education Loan,4526406.9,Very High,0.02,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00401,Borrower_401,Home Loan,4549158.78,High,0.43,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00402,Borrower_402,Business Loan,4505430.6,Low,0.5,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00403,Borrower_403,Business Loan,2200675.06,Medium,0.16,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00404,Borrower_404,Education Loan,3457514.57,Low,0.39,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00405,Borrower_405,Auto Loan,3800396.71,Very High,0.4,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00406,Borrower_406,Auto Loan,2136741.96,Low,0.14,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00407,Borrower_407,Education Loan,265489.72,Medium,0.07,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00408,Borrower_408,Business Loan,1696384.06,Low,0.14,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00409,Borrower_409,Personal Loan,239524.84,Low,0.39,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00410,Borrower_410,Auto Loan,3545289.89,Medium,0.11,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00411,Borrower_411,Home Loan,3511283.34,Medium,0.28,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00412,Borrower_412,Education Loan,4900623.63,High,0.1,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00413,Borrower_413,Home Loan,4084018.94,High,0.25,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00414,Borrower_414,Education Loan,4784476.04,Low,0.42,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00415,Borrower_415,Auto Loan,1025221.49,Very High,0.26,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00416,Borrower_416,Education Loan,1272543.35,High,0.16,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00417,Borrower_417,Home Loan,3329372.83,High,0.1,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00418,Borrower_418,Personal Loan,4900964.7,High,0.1,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00419,Borrower_419,Business Loan,1561810.29,Very High,0.16,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00420,Borrower_420,Business Loan,4092075.9,Low,0.39,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00421,Borrower_421,Personal Loan,4038317.05,Very High,0.19,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00422,Borrower_422,Auto Loan,4534863.56,Very High,0.4,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00423,Borrower_423,Education Loan,3912873.67,High,0.12,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00424,Borrower_424,Home Loan,4508981.72,Very High,0.25,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00425,Borrower_425,Auto Loan,4618135.68,Low,0.38,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00426,Borrower_426,Education Loan,3187883.95,Very High,0.09,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00427,Borrower_427,Home Loan,1141167.85,Medium,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00428,Borrower_428,Business Loan,4876307.17,High,0.42,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00429,Borrower_429,Auto Loan,1008468.67,Low,0.2,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00430,Borrower_430,Personal Loan,1551460.9,Medium,0.46,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00431,Borrower_431,Home Loan,1723601.87,Low,0.49,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00432,Borrower_432,Auto Loan,2307222.2,Medium,0.36,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00433,Borrower_433,Home Loan,3497227.91,High,0.07,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00434,Borrower_434,Education Loan,560408.72,High,0.1,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00435,Borrower_435,Business Loan,3216839.31,Very High,0.35,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00436,Borrower_436,Business Loan,160745.31,Low,0.29,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00437,Borrower_437,Home Loan,1795402.47,Medium,0.17,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00438,Borrower_438,Education Loan,1193404.68,Low,0.4,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00439,Borrower_439,Business Loan,4351950.12,High,0.01,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00440,Borrower_440,Education Loan,3448979.56,Very High,0.36,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00441,Borrower_441,Personal Loan,1867500.16,Very High,0.24,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00442,Borrower_442,Education Loan,2913429.09,Medium,0.24,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00443,Borrower_443,Home Loan,4382600.0,High,0.25,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00444,Borrower_444,Education Loan,2906106.05,Low,0.39,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00445,Borrower_445,Business Loan,1633997.29,Very High,0.44,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00446,Borrower_446,Business Loan,3871117.98,High,0.29,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00447,Borrower_447,Home Loan,601322.56,Very High,0.09,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00448,Borrower_448,Business Loan,2744082.85,High,0.45,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00449,Borrower_449,Personal Loan,4330357.09,Low,0.39,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00450,Borrower_450,Business Loan,4821238.89,Very High,0.09,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00451,Borrower_451,Personal Loan,2927670.0,Low,0.07,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00452,Borrower_452,Home Loan,4170188.01,Very High,0.1,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00453,Borrower_453,Home Loan,4147454.03,High,0.36,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00454,Borrower_454,Home Loan,1823060.1,Medium,0.25,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00455,Borrower_455,Home Loan,3690547.81,Very High,0.12,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00456,Borrower_456,Auto Loan,3709603.21,Low,0.15,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00457,Borrower_457,Auto Loan,514817.36,Very High,0.4,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00458,Borrower_458,Personal Loan,1009880.55,Low,0.05,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00459,Borrower_459,Education Loan,693034.91,Very High,0.14,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00460,Borrower_460,Auto Loan,4042539.21,Low,0.24,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00461,Borrower_461,Auto Loan,530100.78,Very High,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00462,Borrower_462,Personal Loan,4069915.06,Very High,0.31,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00463,Borrower_463,Business Loan,3910467.61,Medium,0.46,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00464,Borrower_464,Home Loan,289456.1,Medium,0.13,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00465,Borrower_465,Auto Loan,1439635.58,High,0.33,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00466,Borrower_466,Personal Loan,996372.8,High,0.14,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00467,Borrower_467,Business Loan,3486096.79,Medium,0.19,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00468,Borrower_468,Home Loan,3923877.47,Very High,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00469,Borrower_469,Business Loan,3303217.3,High,0.16,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00470,Borrower_470,Auto Loan,625894.46,Very High,0.2,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00471,Borrower_471,Personal Loan,3155033.72,Very High,0.4,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00472,Borrower_472,Auto Loan,383044.57,Low,0.45,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00473,Borrower_473,Auto Loan,3025898.92,Very High,0.44,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00474,Borrower_474,Business Loan,4621612.29,High,0.43,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00475,Borrower_475,Education Loan,1006179.2,Very High,0.46,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00476,Borrower_476,Education Loan,886708.78,Medium,0.06,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00477,Borrower_477,Auto Loan,93581.76,High,0.42,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00478,Borrower_478,Personal Loan,1132764.59,High,0.36,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00479,Borrower_479,Auto Loan,3172146.26,High,0.39,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00480,Borrower_480,Education Loan,4190519.14,Low,0.25,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00481,Borrower_481,Education Loan,3192533.76,Low,0.32,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00482,Borrower_482,Education Loan,776058.19,Medium,0.4,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00483,Borrower_483,Personal Loan,4557197.26,High,0.44,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00484,Borrower_484,Home Loan,1545967.03,Medium,0.33,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00485,Borrower_485,Auto Loan,2467247.98,Medium,0.07,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00486,Borrower_486,Home Loan,4917984.24,High,0.1,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00487,Borrower_487,Personal Loan,2462384.32,Very High,0.09,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00488,Borrower_488,Home Loan,2295841.54,Medium,0.32,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00489,Borrower_489,Home Loan,1918214.7,Low,0.3,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00490,Borrower_490,Home Loan,4636728.31,Very High,0.3,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00491,Borrower_491,Personal Loan,1511753.57,High,0.34,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00492,Borrower_492,Education Loan,179043.31,High,0.48,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00493,Borrower_493,Personal Loan,2737489.95,Very High,0.08,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00494,Borrower_494,Personal Loan,786077.75,Medium,0.48,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00495,Borrower_495,Home Loan,4444135.09,Very High,0.13,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00496,Borrower_496,Education Loan,2509991.9,Very High,0.43,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00497,Borrower_497,Personal Loan,3741331.51,Low,0.09,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00498,Borrower_498,Personal Loan,4154456.94,Medium,0.49,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00499,Borrower_499,Home Loan,1228970.4,High,0.45,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00500,Borrower_500,Education Loan,918601.59,High,0.44,Delinquent
